745 Os Lusiadas.txt
745 O Congresso de Roma.txt
743 Os Lusiadas.txt
745 O Congresso de Roma.txt 	 
1   O Congresso de Roma.txt
2   O Congresso de Roma.txt
3   O Congresso de Roma.txt
3   O Cancioneiro portuguez da Vaticana.txt
5   Os Lusiadas.txt
5   Os Lusiadas.txt
7   O Cancioneiro portuguez da Vaticana.txt
6   O Cancioneiro portuguez da Vaticana.txt
9   O Cancioneiro portuguez da Vaticana.txt
9   Os Lusiadas.txt 	 
3   Os Lusiadas.txt
6   Os Lusiadas.txt
745 Os Lusiadas.txt
745 O Congresso de Roma.txt
743 Os Lusiadas.txt
745 O Congresso de Roma.txt 	 
1   O Congresso de Roma.txt
20   O Congresso de Roma.txt
18   O Congresso de Roma.txt
1   O Cancioneiro portuguez da Vaticana.txt
20   Os Lusiadas.txt
12   Os Lusiadas.txt
42   O Cancioneiro portuguez da Vaticana.txt
18   O Cancioneiro portuguez da Vaticana.txt
12   O Cancioneiro portuguez da Vaticana.txt
32   Os Lusiadas.txt	 
12   Os Lusiadas.txt
18   Os Lusiadas.txt
18 	 Os Lusiadas.txt
745 Os Lusiadas.txt
745 O Congresso de Roma.txt
743 Os Lusiadas.txt
745 O Congresso de Roma.txt 	 
10   O Congresso de Roma.txt
200   O Congresso de Roma.txt
180   O Congresso de Roma.txt
10   O Cancioneiro portuguez da Vaticana.txt
200   Os Lusiadas.txt
120   Os Lusiadas.txt
420   O Cancioneiro portuguez da Vaticana.txt
180   O Cancioneiro portuguez da Vaticana.txt
120   O Cancioneiro portuguez da Vaticana.txt
320   Os Lusiadas.txt	 
120   Os Lusiadas.txt
180   Os Lusiadas.txt
180 	 Os Lusiadas.txt
745 Os Lusiadas.txt
745 O Congresso de Roma.txt
743 Os Lusiadas.txt
745 O Congresso de Roma.txt 	 
10   O Congresso de Roma.txt
200   O Congresso de Roma.txt
180   O Congresso de Roma.txt
10   O Cancioneiro portuguez da Vaticana.txt
200   Os Lusiadas.txt
120   Os Lusiadas.txt
420   O Cancioneiro portuguez da Vaticana.txt
180   O Cancioneiro portuguez da Vaticana.txt
120   O Cancioneiro portuguez da Vaticana.txt
320   Os Lusiadas.txt	 
120   Os Lusiadas.txt
180   Os Lusiadas.txt
180 	 Os Lusiadas.txt
745 Os Lusiadas.txt
745 O Congresso de Roma.txt
743 Os Lusiadas.txt
745 O Congresso de Roma.txt 	 
10   O Congresso de Roma.txt
200   O Congresso de Roma.txt
180   O Congresso de Roma.txt
10   O Cancioneiro portuguez da Vaticana.txt
200   Os Lusiadas.txt
120   Os Lusiadas.txt
420   O Cancioneiro portuguez da Vaticana.txt
180   O Cancioneiro portuguez da Vaticana.txt
120   O Cancioneiro portuguez da Vaticana.txt
320   Os Lusiadas.txt	 
120   Os Lusiadas.txt
180   Os Lusiadas.txt
180 	 Os Lusiadas.txt
745 Os Lusiadas.txt
745 O Congresso de Roma.txt
743 Os Lusiadas.txt
745 O Congresso de Roma.txt 	 
10   O Congresso de Roma.txt
200   O Congresso de Roma.txt
180   O Congresso de Roma.txt
10   O Cancioneiro portuguez da Vaticana.txt
200   Os Lusiadas.txt
120   Os Lusiadas.txt
420   O Cancioneiro portuguez da Vaticana.txt
180   O Cancioneiro portuguez da Vaticana.txt
120   O Cancioneiro portuguez da Vaticana.txt
320   Os Lusiadas.txt	 
120   Os Lusiadas.txt
180   Os Lusiadas.txt
180   Os Lusiadas.txt
182   Os Lusiadas.txt

